episodes,rewards
0,-140.55209405631035
1,-100.4178196583762
2,-104.72120729564537
3,-113.39238853328479
4,-63.33839589182908
5,-114.80998846578984
6,-300.8088459055816
7,-235.10413058782575
8,-138.96668284907997
9,-125.28666840725053
